ImageNumber,ObjectNumber,AreaShape_Area,Intensity_IntegratedIntensity_CorrGray,Intensity_IntegratedIntensity_OrigBlot,Location_CenterMassIntensity_X_CorrGray,Location_CenterMassIntensity_X_OrigBlot,Location_CenterMassIntensity_Y_CorrGray,Location_CenterMassIntensity_Y_OrigBlot,Location_Center_X,Location_Center_Y
1,22,479,81.90887203812599,141.26684994995594,814.9843675814093,814.22686092579,226.1846579241366,226.15297394347098,813.1837160751566,226.1106471816284
1,23,434,75.07638373225927,129.03227278590202,1013.6603389504952,1013.0223713577645,225.91409536666492,225.94024110143326,1012.1336405529954,225.97695852534562
1,24,471,80.513985440135,138.82835119962692,1414.085536233891,1413.405831272196,226.0491139786441,226.1203459041629,1412.4713375796177,226.2208067940552
1,25,472,82.7715291082859,141.18281830847263,1813.778600227628,1813.1443538667388,225.98664540550104,226.02122839952605,1812.2457627118645,226.0699152542373
1,26,464,79.927364975214,137.5959564447403,415.18159506801624,414.54197800597876,226.16360048270363,226.14880855486007,413.6594827586207,226.12715517241378
1,27,457,80.4523058757186,137.30812534689903,1213.9667236112311,1213.321813958148,227.1345998462546,227.14213298352644,1212.413566739606,227.15317286652078
1,28,468,80.27433931827545,138.45510073006153,2015.2944205016665,2014.6275557183412,226.06711574093254,226.0971242655176,2013.707264957265,226.13675213675214
1,29,464,79.76862604171038,137.58431361615658,215.70704925142104,215.05631620614628,226.71285495319188,226.7936260272541,214.16163793103448,226.9051724137931
1,30,473,80.31903582811356,139.47060328722,617.6796047066381,616.974844107273,226.4573402900289,226.44132844884092,616.0211416490487,226.42283298097252
1,31,477,82.17302083224058,141.66016620397568,617.6480164281184,616.9853127485009,275.805032619505,275.78301719445096,616.0712788259958,275.75890985324946
1,32,486,84.33472096920013,144.58410008251667,813.6128076366259,812.9189672773708,275.63558367614803,275.637460544684,811.9506172839506,275.63786008230454
1,33,507,86.66201312839985,149.61097154021263,1012.2382149578899,1011.493764914773,275.54431592674496,275.51360967639414,1010.4694280078895,275.4733727810651
1,34,437,74.35213229060173,128.65003408491611,1212.5973355169285,1212.0188445551375,276.4176232933125,276.4010740103889,1211.2288329519452,276.37986270022884
1,35,473,79.46909418702126,138.02116417884827,1416.0165435848537,1415.331057952805,276.6126245043382,276.65927693823625,1414.401691331924,276.7188160676533
1,36,474,81.32176641374826,140.1228503882885,1816.791614741228,1816.0868382167973,276.69886655570946,276.6704669305215,1815.120253164557,276.626582278481
1,37,475,83.40317139029503,142.45989155769348,216.153061568103,215.48357672300068,276.2538161004271,276.26856113021125,214.54105263157894,276.2884210526316
1,38,416,70.39967738091946,122.1634850949049,416.7798986559763,416.18094176954725,275.9064093373559,275.9143504391612,415.36538461538464,275.9230769230769
1,39,447,77.16656526178122,132.7779814451933,1614.9586663224045,1614.3262892287,276.4535832793312,276.48202912711594,1613.447427293065,276.5234899328859
1,40,460,79.46175064891577,136.6875867843628,2016.2081036507936,2015.482134450561,276.80358925275215,276.8083257168584,2014.4739130434782,276.81739130434784
1,41,454,78.95605312287807,135.36893247067928,1412.0825406012664,1411.47729327129,325.25491844737417,325.23014397724353,1410.6299559471365,325.19603524229075
1,42,484,83.55502960830927,143.74670028686523,1213.4007931687247,1212.6314315427076,325.0922529763645,325.08306024809104,1211.5619834710744,325.0681818181818
